# Constructed from biom file
#OTU ID	2018.Run02.Roos.en.Opti.S0001	2018.Run02.Roos.en.Opti.S0002	2018.Run02.Roos.en.Opti.S0003	2018.Run02.Roos.en.Opti.S0004	2018.Run02.Roos.en.Opti.S0005	2018.Run02.Roos.en.Opti.S0006	2018.Run02.Roos.en.Opti.S0007	2018.Run02.Roos.en.Opti.S0008	2018.Run02.Roos.en.Opti.S0009	2018.Run02.Roos.en.Opti.S0010	2018.Run02.Roos.en.Opti.S0011	2018.Run02.Roos.en.Opti.S0012	2018.Run02.Roos.en.Opti.S0013	2018.Run02.Roos.en.Opti.S0014	2018.Run02.Roos.en.Opti.S0015	2018.Run02.Roos.en.Opti.S0016	2018.Run02.Roos.en.Opti.S0017	2018.Run02.Roos.en.Opti.S0018	2018.Run02.Roos.en.Opti.S0019	2018.Run02.Roos.en.Opti.S0020	2018.Run02.Roos.en.Opti.S0021	2018.Run02.Roos.en.Opti.S0022	2018.Run02.Roos.en.Opti.S0023	2018.Run02.Roos.en.Opti.S0024	2018.Run02.Roos.en.Opti.S0025	2018.Run02.Roos.en.Opti.S0026	2018.Run02.Roos.en.Opti.S0027	2018.Run02.Roos.en.Opti.S0028	2018.Run02.Roos.en.Opti.S0029	2018.Run02.Roos.en.Opti.S0030	2018.Run02.Roos.en.Opti.S0031	2018.Run02.Roos.en.Opti.S0032	2018.Run02.Roos.en.Opti.S0033	2018.Run02.Roos.en.Opti.S0034	2018.Run02.Roos.en.Opti.S0035	2018.Run02.Roos.en.Opti.S0036	2018.Run02.Roos.en.Opti.S0037	2018.Run02.Roos.en.Opti.S0038	2018.Run02.Roos.en.Opti.S0039	2018.Run02.Roos.en.Opti.S0040	2018.Run02.Roos.en.Opti.S0041	2018.Run02.Roos.en.Opti.S0042	2018.Run02.Roos.en.Opti.S0043	2018.Run02.Roos.en.Opti.S0044	2018.Run02.Roos.en.Opti.S0045	2018.Run02.Roos.en.Opti.S0046	2018.Run02.Roos.en.Opti.S0047	2018.Run02.Roos.en.Opti.S0048	2018.Run02.Roos.en.Opti.S0049	2018.Run02.Roos.en.Opti.S0050	2018.Run02.Roos.en.Opti.S0051	2018.Run02.Roos.en.Opti.S0052	2018.Run02.Roos.en.Opti.S0053	2018.Run02.Roos.en.Opti.S0054	2018.Run02.Roos.en.Opti.S0055	2018.Run02.Roos.en.Opti.S0056	2018.Run02.Roos.en.Opti.S0057	2018.Run02.Roos.en.Opti.S0058	2018.Run02.Roos.en.Opti.S0059	2018.Run02.Roos.en.Opti.S0060	2018.Run02.Roos.en.Opti.S0061	2018.Run02.Roos.en.Opti.S0062	2018.Run02.Roos.en.Opti.S0063	2018.Run02.Roos.en.Opti.S0064	2018.Run02.Roos.en.Opti.S0065	2018.Run02.Roos.en.Opti.S0066	2018.Run02.Roos.en.Opti.S0067	2018.Run02.Roos.en.Opti.S0068	2018.Run02.Roos.en.Opti.S0069	2018.Run02.Roos.en.Opti.S0070	2018.Run02.Roos.en.Opti.S0071	2018.Run02.Roos.en.Opti.S0072	2018.Run02.Roos.en.Opti.S0073	2018.Run02.Roos.en.Opti.S0074	2018.Run02.Roos.en.Opti.S0075	2018.Run02.Roos.en.Opti.S0076	2018.Run02.Roos.en.Opti.S0077	2018.Run02.Roos.en.Opti.S0078	2018.Run02.Roos.en.Opti.S0079	2018.Run02.Roos.en.Opti.S0080	2018.Run02.Roos.en.Opti.S0081	2018.Run02.Roos.en.Opti.S0082	2018.Run02.Roos.en.Opti.S0083	2018.Run02.Roos.en.Opti.S0084	2018.Run02.Roos.en.Opti.S0085	2018.Run02.Roos.en.Opti.S0086	2018.Run02.Roos.en.Opti.S0087	2018.Run02.Roos.en.Opti.S0088	2018.Run02.Roos.en.Opti.S0089	2018.Run02.Roos.en.Opti.S0090	2018.Run02.Roos.en.Opti.S0091	2018.Run02.Roos.en.Opti.S0092	2018.Run02.Roos.en.Opti.S0093	2018.Run02.Roos.en.Opti.S0094	2018.Run02.Roos.en.Opti.S0095	2018.Run02.Roos.en.Opti.S0096	2018.Run02.Roos.en.Opti.S0097	2018.Run02.Roos.en.Opti.S0098	2018.Run02.Roos.en.Opti.S0099	2018.Run02.Roos.en.Opti.S0100	2018.Run02.Roos.en.Opti.S0101	2018.Run02.Roos.en.Opti.S0102	2018.Run02.Roos.en.Opti.S0103	2018.Run02.Roos.en.Opti.S0104	2018.Run02.Roos.en.Opti.S0105	2018.Run02.Roos.en.Opti.S0106	2018.Run02.Roos.en.Opti.S0107	2018.Run02.Roos.en.Opti.S0108	2018.Run02.Roos.en.Opti.S0109	2018.Run02.Roos.en.Opti.S0110	2018.Run02.Roos.en.Opti.S0111	2018.Run02.Roos.en.Opti.S0112	2018.Run02.Roos.en.Opti.S0113	2018.Run02.Roos.en.Opti.S0114	2018.Run02.Roos.en.Opti.S0115	2018.Run02.Roos.en.Opti.S0116	2018.Run02.Roos.en.Opti.S0117	2018.Run02.Roos.en.Opti.S0118	2018.Run02.Roos.en.Opti.S0119	2018.Run02.Roos.en.Opti.S0120	2018.Run02.Roos.en.Opti.S0121	2018.Run02.Roos.en.Opti.S0122	2018.Run02.Roos.en.Opti.S0123	2018.Run02.Roos.en.Opti.S0124	2018.Run02.Roos.en.Opti.S0125	2018.Run02.Roos.en.Opti.S0126	2018.Run02.Roos.en.Opti.S0127	2018.Run02.Roos.en.Opti.S0128	2018.Run02.Roos.en.Opti.S0129	2018.Run02.Roos.en.Opti.S0130	2018.Run02.Roos.en.Opti.S0131	2018.Run02.Roos.en.Opti.S0132	2018.Run02.Roos.en.Opti.S0133	2018.Run02.Roos.en.Opti.S0134	2018.Run02.Roos.en.Opti.S0135	2018.Run02.Roos.en.Opti.S0136	2018.Run02.Roos.en.Opti.S0137	2018.Run02.Roos.en.Opti.S0138	2018.Run02.Roos.en.Opti.S0139	2018.Run02.Roos.en.Opti.S0140	2018.Run02.Roos.en.Opti.S0141	2018.Run02.Roos.en.Opti.S0142	2018.Run02.Roos.en.Opti.S0143	2018.Run02.Roos.en.Opti.S0144	2018.Run02.Roos.en.Opti.S0145	2018.Run02.Roos.en.Opti.S0146	2018.Run02.Roos.en.Opti.S0147	2018.Run02.Roos.en.Opti.S0148	2018.Run02.Roos.en.Opti.S0149	2018.Run02.Roos.en.Opti.S0150	2018.Run02.Roos.en.Opti.S0151	2018.Run02.Roos.en.Opti.S0152	2018.Run02.Roos.en.Opti.S0153	2018.Run02.Roos.en.Opti.S0154	2018.Run02.Roos.en.Opti.S0155	2018.Run02.Roos.en.Opti.S0156	2018.Run02.Roos.en.Opti.S0157	2018.Run02.Roos.en.Opti.S0158	2018.Run02.Roos.en.Opti.S0159	2018.Run02.Roos.en.Opti.S0160	2018.Run02.Roos.en.Opti.S0161	2018.Run02.Roos.en.Opti.S0162	2018.Run02.Roos.en.Opti.S0163	2018.Run02.Roos.en.Opti.S0164	2018.Run02.Roos.en.Opti.S0165	2018.Run02.Roos.en.Opti.S0166	2018.Run02.Roos.en.Opti.S0167	2018.Run02.Roos.en.Opti.S0168	2018.Run02.Roos.en.Opti.S0169	2018.Run02.Roos.en.Opti.S0170	2018.Run02.Roos.en.Opti.S0171	2018.Run02.Roos.en.Opti.S0172	2018.Run02.Roos.en.Opti.S0173	2018.Run02.Roos.en.Opti.S0174
k__Bacteria;__;__;__;__;__;__	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3396.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	14.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	703.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.0	0.0	578.0	0.0	57.0	51.0	98.0	0.0	0.0	0.0	0.0	40.0	101.0	0.0	615.0	0.0	0.0	0.0	6.0	0.0	155.0	187.0	0.0	0.0	0.0	0.0	0.0	322.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.0	0.0	152.0	0.0	0.0	566.0	857.0	432.0	73.0	0.0	0.0	71.0	327.0	0.0	0.0	266.0	0.0	0.0	23.0	0.0	0.0	0.0	158.0	0.0	152.0	845.0	75.0	0.0	389.0	0.0	40.0	0.0	0.0	0.0	291.0	0.0	0.0	0.0	0.0	0.0	0.0	402.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	56.0	266.0	0.0	0.0	0.0	86.0	0.0	0.0	72.0	0.0	0.0	0.0	41.0	0.0	232.0	1269.0	0.0	62.0	0.0	0.0	0.0	152.0	0.0	87.0	0.0	0.0	0.0	143.0	0.0	349.0	0.0	344.0	72.0	149.0	0.0	166.0	114.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	639.0	0.0	66.0	0.0	117.0	0.0	0.0	0.0	427.0	0.0	0.0	0.0	386.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	166.0	1089.0	0.0	171.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis	0.0	0.0	2088.0	36.0	1510.0	0.0	229.0	0.0	552.0	0.0	253.0	319.0	102.0	0.0	1018.0	0.0	317.0	72.0	0.0	0.0	785.0	0.0	111.0	0.0	213.0	0.0	257.0	158.0	364.0	0.0	0.0	67.0	0.0	0.0	0.0	201.0	0.0	54.0	0.0	0.0	253.0	203.0	577.0	0.0	193.0	0.0	137.0	0.0	101.0	0.0	83.0	266.0	145.0	555.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	198.0	0.0	0.0	0.0	0.0	0.0	166.0	0.0	24.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1632.0	114.0	0.0	93.0	0.0	237.0	218.0	2077.0	0.0	0.0	0.0	2232.0	217.0	186.0	252.0	0.0	362.0	538.0	0.0	1095.0	56.0	0.0	0.0	0.0	0.0	3149.0	233.0	114.0	0.0	0.0	1381.0	0.0	426.0	247.0	521.0	208.0	441.0	2369.0	0.0	2304.0	144.0	0.0	0.0	0.0	602.0	0.0	0.0	412.0	310.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	326.0	0.0	0.0	0.0	727.0	432.0	243.0	141.0	1321.0	0.0	63.0	112.0	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	566.0	0.0	189.0	44.0	187.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis	0.0	0.0	0.0	0.0	0.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__breve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1251.0	0.0	0.0	0.0	0.0
